序号,DOI,标题,matched,terms数,terms,domains,匹配方式,初步文旅判定,全文,全文分析确认,适合进入模型,备注,include_in_model,判定依据,判定来源,人工复核(姐),人工复核理由,terms_version,b1_version
1,10.34120/ajh.v28i109.2183,"أنت عربي! يا للصدفة. فأنا أحب الحمص. المزة ومشهيات التواصل الثقافي. “Oh, you’re an Arab - I love hummus!” Mezze: Cultural Dialogue Appetizers.",True,2,Hummus; Of Arabic And English,阿拉伯文化,title,文旅相关,无全文,待读,适合,阿拉伯饮食（hummus/mezze）作为跨文化交流媒介，属饮食与生活文化＋文化传播；Hummus 为实义命中。,TRUE,标题级,AI预判(Claude),,,3332966f,12233
2,10.37134/sibawayh.vol2.2.8.2021,"استعمال معمل اللغة للتدريس اللغة الأجنبية: اللغة العربية نموذجا
Utilization of Language Laboratory for Teaching Arabic as A Second Language",True,1,Of Arabic And English,阿拉伯文化,title,文旅相关,无全文,待读,不适合,"对象是语言实验室与阿语教学法，属外语教育技术，非文旅；唯一命中词 ""Of Arabic And English"" 是切词残片。",FALSE,标题级,AI预判(Claude),,,3332966f,12233
3,10.63939/jsms.2025-vol8.n29.10-32,السياحة الرياضية ودورها في تنمية وتطوير القطاع السياحي: دراسة حالة كأس العالم 2022 بدولة قطر Sports Tourism and Its Role in the Development and Advancement of the Tourism Sector: A Case Study of the 2022 FIFA World Cup in Qatar,True,4,Case Study; Mainland Chinese Outbound Tourism; Riyadh; The Sustainable Development,地理; 数字技术; 旅游; 研究方法,title,文旅相关,无全文,待读,适合,体育旅游与 2022 卡塔尔世界杯，旅游域核心文献；terms 与 domains 均为实义命中。,TRUE,标题级,AI预判(Claude),,,3332966f,12233
4,10.21608/rmshreq.2021.412859,论伊斯兰教法在华的深度本土化成果 ——中国伊斯兰习惯法 مآثر تأقلم الأحكام الفقهية مع الطابع الصيني (فقه الأعراف بالصين),True,1,China And The,中阿关系,title,有terms但文旅特征弱(待人工),无全文,待读,不适合,"对象是伊斯兰教法在华本土化（中国伊斯兰习惯法），属宗教法与法制史；命中词 ""China And The"" 为残片。建议保留为术语层（中阿关系）支撑，不入主题建模。",FALSE,标题级,AI预判(Claude),,,3332966f,12233
5,10.21608/jsh.2024.360574,الثقافة الإسلامية في الصين (التعليم المسجدي في الصين نموذجًا) Chinese Islamic Culture Mosque Education in China as a Case Study 中国伊斯兰教文化 ——以中国伊斯兰教经堂教育为例,True,5,China And The; In Agriculture; In Higher Education; Islamic; Mosque,中阿关系; 教育; 文化艺术; 文化遗产; 阿拉伯文化,title,文旅相关,无全文,待读,适合,以清真寺（经堂）教育为切口的在华伊斯兰文化研究，涉文化遗产实体与中阿文化交流；Mosque/Islamic 为实义命中。口径提示：若域收紧为「文旅活动与资源」，本条应改判不适合。,TRUE,标题级,AI预判(Claude),,,3332966f,12233
6,10.21608/jsh.2024.399015,مفهوم السلام في الإسلام وأثره Concept and Impact of Peace in Islam 伊斯兰教和平观及其影响,False,0,,,title,无匹配(自动判定非文旅，待人工复核),无全文,待读,不适合,伊斯兰和平观及其影响，属宗教思想研究；0 命中词，与初判一致。,FALSE,标题级,AI预判(Claude),,,3332966f,12233
7,10.1515/caas-2025-2003,ترجمة أدب نسائياته ووظيفته في العالم العربي / The Translation and Reception of Shanghai Literature in the Arab World,True,2,Arab World; Of Arabic And English,地理; 阿拉伯文化,title,文旅相关,无全文,待读,适合,上海文学在阿拉伯世界的翻译与接受，属中阿文学与文化传播；Arab World 为实义命中。,TRUE,标题级,AI预判(Claude),,,3332966f,12233
8,10.21608/jfhsc.2025.505974,阿汉语否定工具使用错误的对比研究：以学习汉语的阿拉伯学生和学习阿拉伯语的中国学生为例 دراسة مقارنة لأخطاء استخدام أدوات النفي بين العربية والصينية: نموذج الطلاب العرب دارسي الصينية والطلاب الصينين دارسي العربية,True,2,China And The; Of Arabic And English,中阿关系; 阿拉伯文化,title,文旅相关,无全文,待读,不适合,阿汉否定手段偏误对比，属对比语言学与二语习得，非文旅。,FALSE,标题级,AI预判(Claude),,,3332966f,12233
9,10.34120/ajh.v31i.2397,الاستغراب وأفق الحوار الحضاري. Occidentalism and the Horizons of Civilizational Dialogue.,True,1,And Interfaith Dialogue,数字技术,title,有terms但文旅特征弱(待人工),无全文,待读,不适合,"西方学与文明对话，属比较文明与思想研究；唯一命中词 ""And Interfaith Dialogue"" 且被错映射到 domain「数字技术」，该 term→domain 映射需修。",FALSE,标题级,AI预判(Claude),,,3332966f,12233
10,10.21608/jfabsu.2023.97111.1115,《由社会语言学角度浅谈微信的语言》 跨科学研究 莎蜜博士 贝尼苏韦夫大学语言学院中文系讲师 (مدخل إلى لغة الويتشات من زاوية علم اللغة الاجتماعي – دراسة بينية),False,0,,,title,无匹配(自动判定非文旅，待人工复核),无全文,待读,不适合,微信语言的社会语言学研究，属新媒体语言学；0 命中词，与初判一致。,FALSE,标题级,AI预判(Claude),,,3332966f,12233
11,10.17977/um082v3i12023p44-58,"الخط العربي تاريخ و إبداع   (Arabic Calligraphy, History and Creativity)",True,1,Of Arabic And English,阿拉伯文化,title,文旅相关,无全文,待读,适合,阿拉伯书法的历史与创造，书法本体研究，属文化艺术与非遗。注意：其命中词为噪声词，纳入依据是题名而非 terms。,TRUE,标题级,AI预判(Claude),,,3332966f,12233
12,10.3998/mpub.11373292.cmp.838,"The Color of Paradise, Rang-e Khodā,رنگ خدا Image 1",False,0,,,,无匹配(自动判定非文旅，待人工复核),无全文,待读,不适合,波斯语电影《天堂的颜色》的图像条目（DOI 指向 University of Michigan Press 书内图像），既非阿语文献也非论文；且匹配方式为空，未进入匹配管线。建议从 27 条整体剔除。,FALSE,标题级,AI预判(Claude),,,3332966f,12233
13,10.18860/ijazarabi.v5i1.13174,Development Of Arabic Calligraphy Learning Material  Base On Self-Learning/ تطوير مادة تعليم الخط العربي على ضوء تعلم الذاتي,True,4,And Deep Learning; In Higher Education; Of Arabic And English; The Sustainable Development,教育; 数字技术; 阿拉伯文化,title,文旅相关,无全文,待读,不适合,阿拉伯书法自主学习教材开发，对象是教学材料与教学法，书法仅为载体（对照 #11/#14 的书法本体研究）。,FALSE,标题级,AI预判(Claude),,,3332966f,12233
14,10.70910/ijal1(1)4,المعنى في الخط العربي Significance of Arabic Calligraphy,True,1,Of Arabic And English,阿拉伯文化,title,文旅相关,无全文,待读,适合,阿拉伯书法的意涵，书法本体研究，属文化艺术与非遗。,TRUE,标题级,AI预判(Claude),,,3332966f,12233
15,10.58205/fber.v3i1.1462,متطلبات تطوير مشروعات السياحة الصحراوية في ضوء أهداف التنمية المستدامة,True,34,And Community Participation; And Intangible Cultural Heritage; And The Environment; Case Study; Conservation Of Cultural; Dates; Eid; Hadith; Hajj And Umrah; Hotels In; In Agriculture; Jeddah; Language Education Students; Mainland Chinese Outbound Tourism; Ney; Of Arabic And English; Of Tourists; Oud Perfume; Palace; Pilgrim; Policy Issues; Regulation; Responsible Tourism; Riyadh; Site Management; Souq; Strategy Of; Sustainability In The; Taiz; The Political Economy; The Sustainable Development; Trade; Tyre; University,可持续发展; 地理; 政策法规; 教育; 数字技术; 文化艺术; 文化遗产; 旅游; 研究方法; 经济贸易; 阿拉伯文化,fulltext,文旅相关,无全文,待读,适合,可持续发展目标下的沙漠旅游项目开发要求，旅游域核心文献。,TRUE,标题级,AI预判(Claude),,,3332966f,12233
