序号,DOI,标题,matched,terms数,terms,domains,匹配方式,初步文旅判定,全文,全文分析确认,适合进入模型,备注
1,10.34120/ajh.v28i109.2183,"أنت عربي! يا للصدفة. فأنا أحب الحمص. المزة ومشهيات التواصل الثقافي. “Oh, you’re an Arab - I love hummus!” Mezze: Cultural Dialogue Appetizers.",true,2,Hummus; Of Arabic And English,阿拉伯文化,title,文旅相关,无全文,□已读  □待读,□适合  □不适合  □待定,
2,10.37134/sibawayh.vol2.2.8.2021,"استعمال معمل اللغة للتدريس اللغة الأجنبية: اللغة العربية نموذجا
Utilization of Language Laboratory for Teaching Arabic as A Second Language",true,1,Of Arabic And English,阿拉伯文化,title,文旅相关,无全文,□已读  □待读,□适合  □不适合  □待定,
3,10.63939/jsms.2025-vol8.n29.10-32,السياحة الرياضية ودورها في تنمية وتطوير القطاع السياحي: دراسة حالة كأس العالم 2022 بدولة قطر Sports Tourism and Its Role in the Development and Advancement of the Tourism Sector: A Case Study of the 2022 FIFA World Cup in Qatar,true,4,Case Study; Mainland Chinese Outbound Tourism; Riyadh; The Sustainable Development,地理; 数字技术; 旅游; 研究方法,title,文旅相关,无全文,□已读  □待读,□适合  □不适合  □待定,
4,10.21608/rmshreq.2021.412859,论伊斯兰教法在华的深度本土化成果 ——中国伊斯兰习惯法 مآثر تأقلم الأحكام الفقهية مع الطابع الصيني (فقه الأعراف بالصين),true,1,China And The,中阿关系,title,有terms但文旅特征弱(待人工),无全文,□已读  □待读,□适合  □不适合  □待定,
5,10.21608/jsh.2024.360574,الثقافة الإسلامية في الصين (التعليم المسجدي في الصين نموذجًا) Chinese Islamic Culture Mosque Education in China as a Case Study 中国伊斯兰教文化 ——以中国伊斯兰教经堂教育为例,true,5,China And The; In Agriculture; In Higher Education; Islamic; Mosque,中阿关系; 教育; 文化艺术; 文化遗产; 阿拉伯文化,title,文旅相关,无全文,□已读  □待读,□适合  □不适合  □待定,
6,10.21608/jsh.2024.399015,مفهوم السلام في الإسلام وأثره Concept and Impact of Peace in Islam 伊斯兰教和平观及其影响,false,0,,,title,无匹配(自动判定非文旅，待人工复核),无全文,□已读  □待读,□适合  □不适合  □待定,
7,10.1515/caas-2025-2003,ترجمة أدب نسائياته ووظيفته في العالم العربي / The Translation and Reception of Shanghai Literature in the Arab World,true,2,Arab World; Of Arabic And English,地理; 阿拉伯文化,title,文旅相关,无全文,□已读  □待读,□适合  □不适合  □待定,
8,10.21608/jfhsc.2025.505974,阿汉语否定工具使用错误的对比研究：以学习汉语的阿拉伯学生和学习阿拉伯语的中国学生为例 دراسة مقارنة لأخطاء استخدام أدوات النفي بين العربية والصينية: نموذج الطلاب العرب دارسي الصينية والطلاب الصينين دارسي العربية,true,2,China And The; Of Arabic And English,中阿关系; 阿拉伯文化,title,文旅相关,无全文,□已读  □待读,□适合  □不适合  □待定,
9,10.34120/ajh.v31i.2397,الاستغراب وأفق الحوار الحضاري. Occidentalism and the Horizons of Civilizational Dialogue.,true,1,And Interfaith Dialogue,数字技术,title,有terms但文旅特征弱(待人工),无全文,□已读  □待读,□适合  □不适合  □待定,
10,10.21608/jfabsu.2023.97111.1115,《由社会语言学角度浅谈微信的语言》 跨科学研究 莎蜜博士 贝尼苏韦夫大学语言学院中文系讲师 (مدخل إلى لغة الويتشات من زاوية علم اللغة الاجتماعي – دراسة بينية),false,0,,,title,无匹配(自动判定非文旅，待人工复核),无全文,□已读  □待读,□适合  □不适合  □待定,
11,10.17977/um082v3i12023p44-58,"الخط العربي تاريخ و إبداع   (Arabic Calligraphy, History and Creativity)",true,1,Of Arabic And English,阿拉伯文化,title,文旅相关,无全文,□已读  □待读,□适合  □不适合  □待定,
12,10.3998/mpub.11373292.cmp.838,"The Color of Paradise, Rang-e Khodā,رنگ خدا Image 1",false,0,,,,无匹配(自动判定非文旅，待人工复核),无全文,□已读  □待读,□适合  □不适合  □待定,
13,10.18860/ijazarabi.v5i1.13174,Development Of Arabic Calligraphy Learning Material  Base On Self-Learning/ تطوير مادة تعليم الخط العربي على ضوء تعلم الذاتي,true,4,And Deep Learning; In Higher Education; Of Arabic And English; The Sustainable Development,教育; 数字技术; 阿拉伯文化,title,文旅相关,无全文,□已读  □待读,□适合  □不适合  □待定,
14,10.70910/ijal1(1)4,المعنى في الخط العربي Significance of Arabic Calligraphy,true,1,Of Arabic And English,阿拉伯文化,title,文旅相关,无全文,□已读  □待读,□适合  □不适合  □待定,
15,10.58205/fber.v3i1.1462,متطلبات تطوير مشروعات السياحة الصحراوية في ضوء أهداف التنمية المستدامة,true,34,And Community Participation; And Intangible Cultural Heritage; And The Environment; Case Study; Conservation Of Cultural; Dates; Eid; Hadith; Hajj And Umrah; Hotels In; In Agriculture; Jeddah; Language Education Students; Mainland Chinese Outbound Tourism; Ney; Of Arabic And English; Of Tourists; Oud Perfume; Palace; Pilgrim; Policy Issues; Regulation; Responsible Tourism; Riyadh; Site Management; Souq; Strategy Of; Sustainability In The; Taiz; The Political Economy; The Sustainable Development; Trade; Tyre; University,可持续发展; 地理; 政策法规; 教育; 数字技术; 文化艺术; 文化遗产; 旅游; 研究方法; 经济贸易; 阿拉伯文化,fulltext,文旅相关,无全文,□已读  □待读,□适合  □不适合  □待定,
16,10.47832/2717-8293.16.26,الماء والسياحة في المجالات الواحية الصحراوية - الواحات المغربية نموذجا,true,22,And Community Participation; And The Environment; Dates; Effect Of Destination; Eid; Hadith; Hajj And Umrah; In Agriculture; Mainland Chinese Outbound Tourism; Ney; Oud Perfume; Palace; Pilgrim; Policy Issues; Qanun; Regulation; Souq; Taiz; The Political Economy; The Sustainable Development; Tyre; University,可持续发展; 地理; 政策法规; 教育; 数字技术; 文化艺术; 文化遗产; 旅游; 经济贸易; 阿拉伯文化,fulltext,文旅相关,无全文,□已读  □待读,□适合  □不适合  □待定,
17,,الاستثمار المستدام في مباني التراث العمراني (دراسة تحليلية),true,1,And Intangible Cultural Heritage,文化遗产,title,文旅相关,无全文,□已读  □待读,□适合  □不适合  □待定,
18,,الروابط بين الطبيعة والثقافة والنزاعات وتأثيرات التغير المناخي,true,1,In Agriculture,文化艺术,title,文旅相关,无全文,□已读  □待读,□适合  □不适合  □待定,
19,,التطريز بالخيوط الذكية لبعض المطرزات السعودية,true,2,Embroidery; Oud Perfume,阿拉伯文化,title,文旅相关,无全文,□已读  □待读,□适合  □不适合  □待定,
20,,صناعة المخطوط في العراق,true,15,And The Environment; Caravanserai; Dates; Fez; Hajj And Umrah; In Agriculture; Of Arabic And English; Pilgrim; Pills In Dubai; Pottery; Rebab; Shawl; To Mecca; Trade; University,可持续发展; 地理; 教育; 数字技术; 文化艺术; 经济贸易; 阿拉伯文化,fulltext,文旅相关,有全文(标题匹配),□已读  □待读,□适合  □不适合  □待定,
21,,مخطوطة صفة المياه الحادة المعدنية,true,8,And Intangible Cultural Heritage; Fez; Hajj And Umrah; In Agriculture; Of Arabic And English; Shawl; Travel To; University,地理; 教育; 文化艺术; 文化遗产; 旅游; 阿拉伯文化,fulltext,文旅相关,有全文(标题匹配),□已读  □待读,□适合  □不适合  □待定,
22,,تحقيق القسم الثالث من مخطوطة الآداب الطبية,false,0,,,title,无匹配(自动判定非文旅，待人工复核),无全文,□已读  □待读,□适合  □不适合  □待定,
