序号,全文key,长度,对应主表,文旅词命中数,命中词(前20),高频词Top8,全文级建议
1,10.54940_ll77649852,80000,不在主表27条ar,15,سياحة; سياحي; سائح; سياح; أثر; ثقافة; خط; زائر; tourism; tourist; travel; heritage; culture; pilgrim; visitor,امل; دبي; مكن; الت; عبد; هذه; tourism; الق,
2,10.58205_fber.v3i1.1462,38166,对应主表: متطلبات تطوير مشروعات السياحة الصحراوية في ضوء أهد (by doi),20,سياحة; سياحي; سياحية; سائح; سياح; تراث; فندق; حج; آثار; ثقافة; ثقافي; سوق; خط; صناعة; زائر; واحة; صحراء; tourism; tourist; desert,عمى; التنمية; المستدامة; السياحة; إلى; الصحراوية; البيئية; السياحية,
3,10.47832_2717-8293.16.26,19296,对应主表: الماء والسياحة في المجالات الواحية الصحراوية - الو (by doi),19,سياحة; سياحي; سياحية; سياح; حج; أثر; ثقافة; ثقافي; سوق; خط; صناعة; زائر; واحة; صحراء; tourism; tourist; heritage; oasis; desert,الواحات; على; اليت; املغربية; هذه; املاء; كما; وهذا,
4,Extra_Sustainable Investment In Architectural ,59766,对应主表: الاستثمار المستدام في مباني التراث العمراني #17遗产建筑投资 (内容判定),13,سياحي; سياحية; سياح; تراث; تراثي; رحلة; ثقافة; ثقافي; حضارة; خط; زائر; heritage; culture,مدن; الم; العمران; الثرار; الد; علد; الثدرار; العمراند,
5,"Extra_Tabe'a III _ nature–culture linkages, co",80000,对应主表: الروابط بين الطبيعة والثقافة والنزاعات #18自然文化气候 (英文key→内容判定),9,تراث; تراثي; أثر; ثقافة; ثقافي; خط; زائر; heritage; culture,رراث; مــن; مـن; عــ; الــ; العاملـي; الـ; العاملــي,PENDING#18自然文化气候：全文文旅词命中9(تراث/تراثي/أثر/ثقافة/heritage/culture)，遗产与文化语境明确，建议倾向可入模
6,Extra_Embroidery with Smart Threads of some Sa,35819,不在主表27条ar,7,تراث; خط; تطريز; heritage; culture; calligraphy; manuscript,design; threads; with; embroidery; proverbs; designs; luminous; first,
7,Extra_صناعة المخطوط في العراق,59689,对应主表: صناعة المخطوط في العراق (by title),10,حج; ثقافة; ثقافي; مخطوط; خط; صناعة; travel; heritage; culture; manuscript,عمى; التي; الكتابة; الػرؽ; إلى; عبج; كاف; العخب,
8,Extra_مخطوطة صفة المياه الحادة المعدنية,29789,对应主表: مخطوطة صفة المياه الحادة المعدنية (by title),9,تراث; سفر; حج; ثقافة; خط; museum; heritage; culture; manuscript,األصل; أثبتشاه; والرػاب; عمى; يخسسيا; الساء; السخصػشة; كمسة,PENDING#21矿泉水写本：全文文旅词命中9(تراث/سفر/museum/heritage/manuscript)，含遗产/博物馆语境，建议倾向可入模（医学写本+遗产利用）
9,Extra_تحقيق القسم الثالث من مخطوطة,23031,对应主表: تحقيق القسم الثالث من مخطوطة الآداب الطبية (by title),4,تراث; حج; heritage; manuscript,عميو; كاف; عمى; يجب; الجهاب; رجل; الدكاة; مدالة,
10,Extra_ألواح الرصاص دراسة تاريخية,31520,对应主表: ألواح الرصاص دراسة تاريخية (by title),10,تراث; سفر; متحف; حج; أثر; خط; صناعة; زائر; heritage; manuscript,على; التي; إلى; العربي; غرناطة; العلمي; التراث; تلك,PENDING#23铅板历史：全文文旅词命中10(تراث/متحف/أثر/زائر/heritage/manuscript)，高频词含غرناطة(格拉纳达)与التراث，考古遗产语境明确，建议倾向可入模
11,Extra_الأوبئة في التراث الطبي العربي والإسلامي,36435,对应主表: الأوبئة في التراث الطبي العربي والإسلامي (by title),12,تراث; سفر; رحلة; حج; أثر; ثقافة; حضارة; مخطوط; خط; صناعة; زائر; heritage,إلى; كان; على; الهواء; ذلك; التي; الوباء; وقد,
12,Extra_القدس منارة الشعر العربي. Jerusalem_ A B,80000,对应主表: القدس منارة الشعر العربي (by title),12,تراث; تراثي; رحلة; حج; أثر; آثار; ثقافة; ثقافي; سوق; خط; صناعة; زائر,على; القدس; إلى; الش; هذا; التي; الذي; القصيدة,
13,Extra_اهمية دراسة المصادر التاريخية,79043,对应主表: أهمية دراسة المصادر التاريخية (by title),7,تراث; حج; ثقافي; خط; heritage; culture; hajj,قال; ابن; دمحم; إسحاق; أبي; تار; عبد; هللا,
14,Extra_منطقة الحياد العراقية السعودية,51930,对应主表: منطقة الحياد العراقية السعودية (by title),6,تراث; حج; خط; heritage; culture; desert,الحياد; عمى; مشصقة; العخاق; الى; حيث; بيغ; الحجود,
