stable_id,idx,openalex_id,doi,title,year,venue,source_db,pdf_url,download_status,category,basis,ar_ratio_body,fa_ratio_body,en_ratio_body,text_len,pages,tourism_hits,tourism_hit_ratio,hit_keywords,include_in_model,model_rule,include_in_case,case_rule
W2254096573,0,W2254096573,10.36325/ghjec.v8i25.5840,دور التدريب في إعداد الموارد البشرية السياحية المتخصصة وتأثيره على مستوى تقديم الخدمات Role of Training in specialized Tourism Human Resources and its Effect over service level,2014,Al-Ghary Journal of Economic and Administrative Sciences,OpenAlex,https://journal.uokufa.edu.iq/index.php/ghjec/article/download/5840/5454,ok,QUAL_CASE,阿语占比中等(22.7%)但文旅词命中5个且文本充足，可作定性案例,0.2272,0.0,0.0341,19936,10,5,0.1429,tourism;tourist;tour;hotel;فندق,0,,1,在90案例池内
W4400143370,1,W4400143370,10.36325/ghjec.v15i3.5436,واقع القطاع السياحي في محافظة النجف الاشرف - دراسة تحليلية,2019,Al-Ghary Journal of Economic and Administrative Sciences,OpenAlex,https://journal.uokufa.edu.iq/index.php/ghjec/article/download/5436/5051,ok,AR_PURE,纯阿语正文(阿语64.4%/英文4.4%)，文旅词命中14个，文本充足,0.644,0.0,0.0444,21618,10,14,0.4,tourism;tour;سياحة;سياحي;سائح;السياحية;السياحة;فندق,1,纯阿语正文(正文阿语>=60%/英文<20%/波斯=0)+文旅相关(tourism_hits>=1)+全文可得,1,在90案例池内
W3186252590,2,W3186252590,,قابلية البيئة القانونية للسياحة الحلال في ليبيا,2019,The International Islamic University Malaysia Repository (The International Islamic University Malaysia),OpenAlex,http://eprints.undip.ac.id/76770/1/COVER.pdf,ok,LANG_MISJUDG,正文阿语占比0.0%<15%，语言误判,0.0,0.0,0.5058,11617,10,4,0.1143,tourism;tourist;tour;cultural,0,语言误判(正文阿语<15%，如波斯语/土耳其语标题混入)，排除出模型,0,未进90案例池
W4324125760,3,W4324125760,10.37653/juah.2012.52094,السیاحة الصحراویة فی محافظة الانبار,2012,Maǧallaẗ ǧāmiʻaẗ al-Anbār li-l-ʻulūm al-insāniyyaẗ/Maǧallaẗ ǧāmiʻaẗ al-anbār li-l-ʻulūm al-insāniyyaẗ,OpenAlex,https://juah.uoanbar.edu.iq/article_52094_00ea4da7054bbef6aa1ab2b1746b8f93.pdf,ok,AR_PURE,纯阿语正文(阿语63.2%/英文2.3%)，文旅词命中7个，文本充足,0.6316,0.0,0.0233,26409,10,7,0.2,tourism;tour;سياحة;سياحي;السياحة;سفر;ثقافي,1,纯阿语正文(正文阿语>=60%/英文<20%/波斯=0)+文旅相关(tourism_hits>=1)+全文可得,1,在90案例池内
W4316917319,4,W4316917319,10.33102/mjsl.vol6no1.80,ماهية السياحة الترويحية وتأصيلها وضوابطها في الفقه الإسلامي,2018,Malaysian Journal of Syariah and Law,OpenAlex,https://mjsl.usim.edu.my/index.php/jurnalmjsl/article/download/80/70,ok,QUAL_CASE,阿语占比中等(58.2%)但文旅词命中7个且文本充足，可作定性案例,0.5819,0.0,0.099,15952,10,7,0.2,tourism;tour;سياحة;سائح;السياحة;سفر;ثقافي,0,,1,在90案例池内
W4396518279,5,W4396518279,10.56807/buj.v6i1.553,تقييم السياسات العامة السياحية في اليمن,2024,Albaydha University Journal,OpenAlex,https://baydaauniv.net/buj/index.php/buj/article/download/553/505,ok,QUAL_CASE,阿语占比中等(39.5%)但文旅词命中6个且文本充足，可作定性案例,0.395,0.0,0.017,73265,10,6,0.1714,tourism;tour;سياحة;سياحي;السياحية;السياحة,0,,1,在90案例池内
W2737527860,6,W2737527860,10.36325/ghjec.v10i33.5581,شبكة النقل البري واثرها على النشاط السياحي في محافظة النجف الاشرف,2015,Al-Ghary Journal of Economic and Administrative Sciences,OpenAlex,https://journal.uokufa.edu.iq/index.php/ghjec/article/download/5581/5197,ok,QUAL_CASE,阿语占比中等(33.6%)但文旅词命中4个且文本充足，可作定性案例,0.3358,0.0,0.0447,23266,10,4,0.1143,tourism;tourist;tour;destination,0,,1,在90案例池内
W4409887477,7,W4409887477,10.56807/buj.v7i1.776,تنشيط السياحة الرياضية في الجزر اليمنية وأثرها في دعم الاقتصاد الوطني,2025,Albaydha University Journal,OpenAlex,https://baydaauniv.net/buj/index.php/buj/article/download/776/690,ok,QUAL_CASE,阿语占比中等(42.2%)但文旅词命中10个且文本充足，可作定性案例,0.4218,0.0,0.0158,85714,10,10,0.2857,tourism;tour;سياحة;سياحي;السياحية;السياحة;فندق;سفر,0,,1,在90案例池内
W2218741503,8,W2218741503,10.36322/jksc.v1i17.5261,دور المصارف التقليدية والشاملة في تفعيل قطاع السياحة في محافظة النجف دراسة ميدانية,2010,Journal of Kufa Studies Center,OpenAlex,https://journal.uokufa.edu.iq/index.php/ksc/article/download/5261/4873,ok,AR_PURE,纯阿语正文(阿语76.5%/英文0.6%)，文旅词命中11个，文本充足,0.7648,0.0,0.0064,15241,10,11,0.3143,tourism;tour;سياحة;سياحي;السياحية;السياحة;فنادق;سفر,1,纯阿语正文(正文阿语>=60%/英文<20%/波斯=0)+文旅相关(tourism_hits>=1)+全文可得,1,在90案例池内
W4240708460,9,W4240708460,10.33948/jap-ksu-33-1-3,تتبع درب زبيدة التاريخي من الكوفة حتى مكة المكرمة باستخدام نظم المعلومات الجغرافية,2020,,OpenAlex,https://doi.org/10.33948/jap-ksu-33-1-3,ok,AR_PURE,纯阿语正文(阿语79.9%/英文0.7%)，文旅词命中4个，文本充足,0.7992,0.0,0.0075,24214,10,4,0.1143,سياحة;السياحة;تراث;ثقافي,1,纯阿语正文(正文阿语>=60%/英文<20%/波斯=0)+文旅相关(tourism_hits>=1)+全文可得,1,在90案例池内
