序号,查询词,主题方向,检索命中数,热点词数量,热点词,相关性得分,响应时间(ms),代表性文献1,代表性文献2
1,文化遗产,文化遗产,10,5,遗产|文化|数字,100,195.7,眉山市非物质文化遗产数字化传播现状调查报告,文化外交视角下法国文化遗产保护国际合作策略研究
2,cultural heritage,文化遗产,10,5,heritage|knowledge|model,100,449.0,Knowledge graph for intangible cultural heritage i,Knowledge extraction and multi-label classificatio
3,非物质文化遗产,文化遗产,10,5,遗产|文化|数字,100,727.7,基于文化传承视角的高职旅游教育中非物质文化遗产讲解技能课程开发,眉山市非物质文化遗产数字化传播现状调查报告
4,遗产保护,文化遗产,3,3,遗产|文化|数字,49,512.3,文化外交视角下法国文化遗产保护国际合作策略研究,数字技术赋能非物质文化遗产“两创”实践路径研究——以佛山市非物质文化遗产保护为例
5,文物数字化,文化遗产,3,1,数字,51,498.2,遂川红色文物数字化保护实践,大别山革命文物数字化展示与传播创新路径研究
6,文化旅游,旅游,10,4,旅游|文化|AI,100,792.7,功能对等理论在桂林茶文化旅游多语种外宣中的应用与反思,青岛都市圈文化旅游资源评价及其优化研究
7,cultural tourism,旅游,10,5,tourism|digital|policy,100,326.0,The impact of cultural tourism digital humans in C,Nowruz as a cultural tourism asset in Central Asia
8,智慧旅游,旅游,9,3,旅游|文旅|数字,100,367.0,“云链梅岭·智兴湾里”乡村振兴智慧旅游计划,智慧旅游背景下高职旅游人才培养策略研究
9,可持续旅游,旅游,4,1,旅游,68,481.8,全球化背景下的旅游发展新趋势：可持续旅游与生态转型的理论进展及实践路径,全球化背景下的旅游发展新趋势：可持续旅游与生态转型的理论进展与实践路径
10,旅游合作,旅游,2,1,旅游,32,183.8,中国区域旅游合作：关键问题与改进方向,旅游合作
11,tourism cooperation,旅游,2,2,tourism|cooperation,44,191.2,The rhetoric of tourism diplomacy: a study on Türk,Current state and prospects for the development of
12,游客行为,旅游,0,0,,0,167.0,,
13,旅游形象,旅游,1,1,旅游,17,165.0,国际游客评论话语分析下的海口市旅游形象感知研究,
14,中阿合作,中阿关系,1,1,中阿,15,150.7,中阿合作,
15,china arab,中阿关系,0,0,,0,143.5,,
16,一带一路,中阿关系,8,3,一带一路|文化|旅游,100,595.6,“一带一路”文化传播的“自塑”与“他塑”——中外数据库可视化分析,“一带一路”下阿拉伯伊斯兰文化交流的动态发展路径探析
17,silk road,中阿关系,5,3,silk|tourism|culture,100,439.9,"Culture, space, and tourism Spillovers in silk roa",4. The technological silk road
18,跨文化传播,中阿关系,10,1,文化,100,175.2,跨文化传播视域下外国文学译介路径研究,跨文化传播视角下少数民族影视翻译研究——以《冈仁波齐》为例
19,数字文旅,数字与AI,3,4,文旅|数字|文化,49,272.5,基于数字文旅背景下沉浸式文旅新业态黑龙江红色文化空间数字应用与文旅创新发展思路研究,数字文旅开发模式下的传统旅游体验提升策略研究
20,数字人文,数字与AI,3,3,数字|旅游|文化,51,545.3,数字人文视域下的国际中文教育：范式转型与实践探索,数字人文视域下洪江旅游文化传承、翻译与传播研究
21,大语言模型,数字与AI,0,0,,0,155.9,,
22,LLM,数字与AI,10,5,knowledge|AI|system,100,137.6,CTI-Thinker: an LLM-driven system for CTI knowledg,Multilingual and Multimodal LLMs in the Wild: Buil
23,知识图谱,数字与AI,2,1,旅游,32,139.6,中国乡村旅游研究现状分析——基于科学知识图谱视角,知识图谱
24,knowledge graph,数字与AI,10,5,knowledge|heritage|model,100,183.4,Dynamic graph analysis of intangible cultural heri,GIS-technology-based spatiotemporal semantic model
25,自然语言处理,数字与AI,0,0,,0,806.9,,
26,阿拉伯语教育,教育语言,0,0,,0,188.2,,
27,语言教学,教育语言,0,0,,0,288.8,,
28,国际中文教育,教育语言,10,3,文化|数字|AI,100,240.1,&lt;b&gt;跨文化交际视角下国际中文教育中的文化冲突与适应策略 ——以泰国商会大学为例&lt;,数字人文视域下的国际中文教育：范式转型与实践探索
29,机器翻译,教育语言,0,0,,0,198.9,,
30,沙特,区域国别,2,0,,24,132.9,中国对沙特阿拉伯交通基础设施投资风险评价研究,职前国际中文教师线上教学能力成长情况研究 ——基于沙特阿拉伯中文项目的实践与反思
31,阿联酋,区域国别,0,0,,0,283.8,,
32,埃及旅游,区域国别,0,0,,0,272.1,,
33,中东研究,区域国别,0,0,,0,211.0,,
34,旅游经济,经济政策,6,3,旅游|文化|文旅,95,183.1,大连低空旅游经济发展战略定位——与上海、深圳的比较分析,文旅融合视角下焦作武术产业与旅游经济协同发展现状及对策
35,旅游政策,经济政策,0,0,,0,178.6,,
36,文旅融合,经济政策,9,4,文旅|旅游|文化,100,196.1,文旅融合视角下焦作武术产业与旅游经济协同发展现状及对策,文旅融合背景下地方文化国际化传播路径创新研究——以“语韵台州”双语志愿者导览项目为例
37,图书馆服务,学术服务,0,0,,0,525.8,,
38,学科服务,学术服务,0,0,,0,187.2,,
39,科研评价,学术服务,0,0,,0,2804.4,,
